meter_id,consumer_name,address,monthly_bill
MTR0043,Aly Khan,House 12 Street 10 G11 Islamabad,116035
MTR0044,Muhammad Ahmd,H#45 DHA Lhr,75734
MTR0045,M Ahmed,House 45 DHA Lahore,49087
MTR0046,Ali Khan,H#12 St10 G11 Isb,137689
MTR0047,Ahmad Raza,House 45 DHA Lahore,123025
MTR0048,Aly Khan,House 12 Street 10 G11 Islamabad,86083
MTR0049,Ali Khan,Phase 8 Bahria RWP,33339
MTR0051,علی خان,H#12 St10 G11 Isb,84468
MTR0052,Ahmad Raza,House 12 Street 10 G11 Islamabad,137677
MTR0053,Ahmad Raza,Phase 8 Bahria RWP,34172
MTR0055,M Ahmed,House 12 Street 10 G11 Islamabad,128371
MTR0056,علی خان,Phase 8 Bahria RWP,92911
MTR0057,M Ahmed,Street 10 G11 Islamabad,89565
MTR0058,Aly Khan,H#45 DHA Lhr,76602
MTR0059,Ahmad Raza,House 12 Street 10 G11 Islamabad,127888
MTR0060,Aly Khan,Phase 8 Bahria RWP,46261
MTR0061,علی خان,H#45 DHA Lhr,40335
MTR0062,Ahmad Raza,H#45 DHA Lhr,148168
MTR0063,Muhammad Ahmd,Bahria Phase 8 Rawalpindi,107100
MTR0064,Muhammad Ahmd,Street 10 G11 Islamabad,48399
MTR0067,علی خان,Bahria Phase 8 Rawalpindi,79458
MTR0068,احمد رضا,H#45 DHA Lhr,63128
MTR0069,M Ahmed,House 12 Street 10 G11 Islamabad,51524
MTR0070,علی خان,House 12 Street 10 G11 Islamabad,123284
MTR0072,محمد احمد,Phase 8 Bahria RWP,17633
MTR0073,Aly Khan,H#12 St10 G11 Isb,43933
MTR0074,Aly Khan,H#45 DHA Lhr,11107
MTR0075,علی خان,House 12 Street 10 G11 Islamabad,71703
MTR0076,احمد رضا,House 45 DHA Lahore,65705
MTR0077,Ahmad Raza,H#45 DHA Lhr,96280
MTR0078,علی خان,House 45 DHA Lahore,85468
MTR0079,M Ahmed,H#45 DHA Lhr,29303
MTR0080,Muhammad Ahmd,Street 10 G11 Islamabad,91066
MTR0081,M Ahmed,House 45 DHA Lahore,127370
MTR0082,M Ahmed,House 12 Street 10 G11 Islamabad,60257
MTR0083,محمد احمد,H#12 St10 G11 Isb,89123
MTR0085,Ahmed Raza,House 45 DHA Lahore,39334
MTR0086,Ahmed Raza,House 45 DHA Lahore,72454
MTR0087,Muhammad Ahmed,Street 10 G11 Islamabad,63699
MTR0088,علی خان,Bahria Phase 8 Rawalpindi,62982
MTR0089,Muhammad Ahmd,House 45 DHA Lahore,16301
MTR0090,Muhammad Ahmd,H#12 St10 G11 Isb,61098
MTR0092,علی خان,H#12 St10 G11 Isb,113468
MTR0093,Ali Khan,House 45 DHA Lahore,74615
MTR0094,M Ahmed,Phase 8 Bahria RWP,25051
MTR0095,علی خان,H#12 St10 G11 Isb,51024
MTR0096,Ahmad Raza,H#45 DHA Lhr,127007
MTR0097,Muhammad Ahmd,House 45 DHA Lahore,90255
MTR0098,Ahmad Raza,Street 10 G11 Islamabad,55364
MTR0099,محمد احمد,Phase 8 Bahria RWP,127563
MTR0101,محمد احمد,H#12 St10 G11 Isb,30956
MTR0104,Muhammad Ahmd,Bahria Phase 8 Rawalpindi,123078
MTR0105,علی خان,H#45 DHA Lhr,37323
MTR0106,علی خان,House 12 Street 10 G11 Islamabad,108255
MTR0107,احمد رضا,Bahria Phase 8 Rawalpindi,56417
MTR0109,علی خان,H#45 DHA Lhr,123617
MTR0110,Muhammad Ahmed,Phase 8 Bahria RWP,80868
MTR0111,محمد احمد,Phase 8 Bahria RWP,128566
MTR0112,احمد رضا,H#12 St10 G11 Isb,137546
MTR0113,علی خان,House 12 Street 10 G11 Islamabad,14473
MTR0116,محمد احمد,Street 10 G11 Islamabad,89879
MTR0117,Aly Khan,H#45 DHA Lhr,118577
MTR0119,Muhammad Ahmed,Street 10 G11 Islamabad,127469
MTR0120,Muhammad Ahmd,Street 10 G11 Islamabad,51515
MTR0121,علی خان,House 12 Street 10 G11 Islamabad,70452
MTR0122,Ahmed Raza,Phase 8 Bahria RWP,23708
MTR0124,M Ahmed,House 12 Street 10 G11 Islamabad,57228
MTR0125,Muhammad Ahmed,Bahria Phase 8 Rawalpindi,113622
MTR0126,Aly Khan,H#45 DHA Lhr,37617
MTR0128,Muhammad Ahmd,Street 10 G11 Islamabad,60234
MTR0129,Ali Khan,H#12 St10 G11 Isb,86836
MTR0131,Muhammad Ahmed,Phase 8 Bahria RWP,45279
MTR0132,Ahmed Raza,H#45 DHA Lhr,15071
MTR0133,Muhammad Ahmd,House 12 Street 10 G11 Islamabad,121168
MTR0134,احمد رضا,H#12 St10 G11 Isb,115998
MTR0135,علی خان,Bahria Phase 8 Rawalpindi,71600
MTR0136,احمد رضا,H#45 DHA Lhr,92075
MTR0138,محمد احمد,House 12 Street 10 G11 Islamabad,75610
MTR0141,Muhammad Ahmd,Bahria Phase 8 Rawalpindi,44413
MTR0142,Muhammad Ahmed,Phase 8 Bahria RWP,139276
MTR0144,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,47517
MTR0145,علی خان,H#12 St10 G11 Isb,14873
MTR0146,علی خان,Phase 8 Bahria RWP,148905
MTR0148,Aly Khan,Bahria Phase 8 Rawalpindi,52811
MTR0149,Muhammad Ahmd,House 12 Street 10 G11 Islamabad,60558
MTR0150,Ahmed Raza,H#12 St10 G11 Isb,47903
MTR0151,علی خان,House 12 Street 10 G11 Islamabad,23241
MTR0152,Muhammad Ahmd,House 45 DHA Lahore,42860
MTR0153,Muhammad Ahmed,Phase 8 Bahria RWP,123338
MTR0154,Aly Khan,H#45 DHA Lhr,72803
MTR0156,Muhammad Ahmed,Street 10 G11 Islamabad,59046
MTR0158,علی خان,Phase 8 Bahria RWP,90125
MTR0159,احمد رضا,H#12 St10 G11 Isb,61760
MTR0160,Ali Khan,H#12 St10 G11 Isb,140904
MTR0161,علی خان,Bahria Phase 8 Rawalpindi,104960
MTR0162,Ahmed Raza,H#45 DHA Lhr,57401
MTR0163,M Ahmed,H#12 St10 G11 Isb,107796
MTR0165,Muhammad Ahmd,House 45 DHA Lahore,24845
MTR0167,M Ahmed,House 45 DHA Lahore,147315
MTR0168,علی خان,Street 10 G11 Islamabad,97373
MTR0171,محمد احمد,Street 10 G11 Islamabad,88348
MTR0173,Aly Khan,H#12 St10 G11 Isb,124911
MTR0174,علی خان,House 45 DHA Lahore,26101
MTR0175,Muhammad Ahmd,H#45 DHA Lhr,54633
MTR0176,محمد احمد,House 45 DHA Lahore,112776
MTR0177,علی خان,Bahria Phase 8 Rawalpindi,11300
MTR0179,Aly Khan,Phase 8 Bahria RWP,47438
MTR0180,Ahmad Raza,H#12 St10 G11 Isb,28681
MTR0181,احمد رضا,H#12 St10 G11 Isb,123109
MTR0183,Muhammad Ahmed,H#45 DHA Lhr,30439
MTR0186,محمد احمد,Phase 8 Bahria RWP,98253
MTR0187,Muhammad Ahmd,Street 10 G11 Islamabad,13432
MTR0189,M Ahmed,House 12 Street 10 G11 Islamabad,130654
MTR0191,Ahmed Raza,House 45 DHA Lahore,23965
MTR0193,Ahmad Raza,House 45 DHA Lahore,51078
MTR0194,محمد احمد,Street 10 G11 Islamabad,91615
MTR0196,M Ahmed,H#12 St10 G11 Isb,99215
MTR0197,Muhammad Ahmed,House 45 DHA Lahore,18295
MTR0198,Ahmad Raza,H#45 DHA Lhr,13175
MTR0199,M Ahmed,House 12 Street 10 G11 Islamabad,67984
MTR0200,Ahmed Raza,H#12 St10 G11 Isb,52515
MTR0201,احمد رضا,House 12 Street 10 G11 Islamabad,113109
MTR0202,Ali Khan,H#12 St10 G11 Isb,85832
MTR0204,محمد احمد,Bahria Phase 8 Rawalpindi,59545
MTR0206,M Ahmed,Street 10 G11 Islamabad,141923
MTR0208,علی خان,H#45 DHA Lhr,56634
MTR0210,Ahmad Raza,House 12 Street 10 G11 Islamabad,146164
MTR0212,Muhammad Ahmd,Bahria Phase 8 Rawalpindi,37869
MTR0213,Aly Khan,Street 10 G11 Islamabad,96783
MTR0214,M Ahmed,Bahria Phase 8 Rawalpindi,103590
MTR0215,Ali Khan,Street 10 G11 Islamabad,99462
MTR0217,Ali Khan,House 12 Street 10 G11 Islamabad,59618
MTR0219,Aly Khan,H#12 St10 G11 Isb,83887
MTR0220,M Ahmed,Street 10 G11 Islamabad,17307
MTR0221,احمد رضا,Phase 8 Bahria RWP,55562
MTR0222,Ahmad Raza,Street 10 G11 Islamabad,126195
MTR0223,Aly Khan,Street 10 G11 Islamabad,115822
MTR0224,احمد رضا,H#45 DHA Lhr,15054
MTR0225,محمد احمد,Phase 8 Bahria RWP,36498
MTR0226,Muhammad Ahmd,H#45 DHA Lhr,12039
MTR0227,Ahmad Raza,House 45 DHA Lahore,143778
MTR0228,M Ahmed,H#12 St10 G11 Isb,120244
MTR0229,Ahmad Raza,House 12 Street 10 G11 Islamabad,88150
MTR0230,Ahmad Raza,Bahria Phase 8 Rawalpindi,20866
MTR0231,Muhammad Ahmd,Street 10 G11 Islamabad,21152
MTR0233,Ahmed Raza,Phase 8 Bahria RWP,32694
MTR0235,Muhammad Ahmd,H#45 DHA Lhr,59819
MTR0236,Muhammad Ahmd,Phase 8 Bahria RWP,91031
MTR0238,Ahmad Raza,H#45 DHA Lhr,41532
MTR0239,Muhammad Ahmd,Bahria Phase 8 Rawalpindi,38517
MTR0241,Muhammad Ahmed,Street 10 G11 Islamabad,48134
MTR0242,محمد احمد,House 12 Street 10 G11 Islamabad,33576
MTR0245,Muhammad Ahmed,House 12 Street 10 G11 Islamabad,128623
MTR0246,Muhammad Ahmed,H#12 St10 G11 Isb,100633
MTR0248,M Ahmed,House 45 DHA Lahore,109900
MTR0249,Ahmed Raza,Street 10 G11 Islamabad,20603
MTR0250,Muhammad Ahmed,Bahria Phase 8 Rawalpindi,96032
MTR0251,Aly Khan,H#45 DHA Lhr,16170
MTR0252,احمد رضا,H#12 St10 G11 Isb,111698
MTR0253,Muhammad Ahmd,House 45 DHA Lahore,50262
MTR0256,احمد رضا,House 45 DHA Lahore,39593
MTR0257,Ahmed Raza,Bahria Phase 8 Rawalpindi,51530
MTR0259,Ali Khan,H#12 St10 G11 Isb,110653
MTR0260,احمد رضا,Street 10 G11 Islamabad,88510
MTR0261,Ahmad Raza,H#45 DHA Lhr,88924
MTR0263,محمد احمد,H#12 St10 G11 Isb,54807
MTR0264,احمد رضا,H#12 St10 G11 Isb,147897
MTR0265,Muhammad Ahmed,House 45 DHA Lahore,140381
MTR0266,محمد احمد,H#45 DHA Lhr,66605
MTR0267,M Ahmed,Bahria Phase 8 Rawalpindi,128904
MTR0268,Ahmad Raza,H#12 St10 G11 Isb,17719
MTR0270,احمد رضا,H#12 St10 G11 Isb,51673
MTR0271,احمد رضا,H#12 St10 G11 Isb,119415
MTR0272,M Ahmed,Street 10 G11 Islamabad,51761
MTR0273,Muhammad Ahmd,Street 10 G11 Islamabad,84069
MTR0274,Aly Khan,Street 10 G11 Islamabad,13769
MTR0275,Muhammad Ahmed,H#45 DHA Lhr,62067
MTR0277,محمد احمد,Bahria Phase 8 Rawalpindi,91206
MTR0278,علی خان,H#45 DHA Lhr,16123
MTR0280,علی خان,Bahria Phase 8 Rawalpindi,75775
MTR0281,Ahmad Raza,H#12 St10 G11 Isb,26252
MTR0282,Ali Khan,House 45 DHA Lahore,147249
MTR0283,Ahmad Raza,House 12 Street 10 G11 Islamabad,101895
MTR0286,Ahmad Raza,Street 10 G11 Islamabad,24570
MTR0287,Muhammad Ahmd,Phase 8 Bahria RWP,21266
MTR0288,M Ahmed,Phase 8 Bahria RWP,149818
MTR0289,Ali Khan,H#12 St10 G11 Isb,46516
MTR0290,علی خان,Street 10 G11 Islamabad,79298
MTR0291,Ahmed Raza,House 45 DHA Lahore,78911
MTR0292,Aly Khan,Phase 8 Bahria RWP,108736
MTR0293,محمد احمد,H#12 St10 G11 Isb,121511
MTR0294,Muhammad Ahmd,H#12 St10 G11 Isb,132542
MTR0296,Aly Khan,House 45 DHA Lahore,113410
MTR0297,Aly Khan,House 45 DHA Lahore,100927
MTR0299,محمد احمد,H#12 St10 G11 Isb,70002
